Com_ID,Com_Name,Sector,Com_Rating,Official_Website
22617,TechNova Solutions,Technology,64,www.TechNova_Solutions.com
18207,GreenGen Energy,Renewable Energy,19,www.GreenGen_Energy.com
79801,BioTech Innovations,Biotechnology,5,www.BioTech_Innovations.com
35155,GlobalCom Connect,Telecommunications,6,www.GlobalCom_Connect.com
66608,EcoCraft Solutions,Environmental Services,13,www.EcoCraft_Solutions.com
23985,HealthLink Pharmaceuticals,Healthcare,54,www.HealthLink_Pharmaceuticals.com
50900,DataDynamics Inc.,Data Analytics,69,www.DataDynamics_Inc..com
66589,BrightWave Electronics,Electronics Manufacturing,26,www.BrightWave_Electronics.com
39197,AlphaGen Robotics,Robotics,29,www.AlphaGen_Robotics.com
53619,FinWise Financial Services,Finance,17,www.FinWise_Financial_Services.com
70634,CleanEarth Solutions,Environmental Technology,70,www.CleanEarth_Solutions.com
98753,CyberGuard Security,Cybersecurity,58,www.CyberGuard_Security.com
15223,AgriSustain Farms,Agriculture,94,www.AgriSustain_Farms.com
98856,NanoTech Systems,Nanotechnology,20,www.NanoTech_Systems.com
50885,SkyHigh Aerospace,Aerospace,74,www.SkyHigh_Aerospace.com
10776,SolarWorks Solutions,Solar Energy,85,www.SolarWorks_Solutions.com
71737,MedServe Medical Devices,Medical Devices,72,www.MedServe_Medical_Devices.com
83911,QuantumSoft Technologies,Software Development,76,www.QuantumSoft_Technologies.com
91013,BlueSea Maritime Logistics,Maritime,53,www.BlueSea_Maritime_Logistics.com
51230,SmartGrid Solutions,Energy Management,2,www.SmartGrid_Solutions.com
89079,FoodGenie Catering,Food Services,86,www.FoodGenie_Catering.com
5808,BioFuel Innovations,Alternative Energy,29,www.BioFuel_Innovations.com
63656,AeroTech Dynamics,Aviation,52,www.AeroTech_Dynamics.com
80294,WellnessWave Healthcare,Wellness,83,www.WellnessWave_Healthcare.com
56949,Genomic Insights,Genetics,94,www.Genomic_Insights.com
98956,TerraScape Environmental,Environmental Consulting,40,www.TerraScape_Environmental.com
5413,DataVault Systems,Data Security,94,www.DataVault_Systems.com
213,PulseTech Biometrics,Biometric Technology,53,www.PulseTech_Biometrics.com
5991,MindMeld Software,Artificial Intelligence,100,www.MindMeld_Software.com
44013,EcoWise Recycling,Waste Management,8,www.EcoWise_Recycling.com
