Job_ID,Company_ID,Role,Salary,Location,Type,Status
39824,50605,Social Worker,1648500,"Hong Kong, China",job_type.remote_part_time,job_status.vacant
44909,81311,Human Resources Manager,535000,"Ho Chi Minh City, Vietnam",job_type.onsite_full_time,job_status.vacant
82918,76515,Insurance Agent,5159500,"Cleveland, USA",job_type.onsite_full_time,job_status.vacant
13097,98956,Software Tester,3130300,"Jaipur, India",job_type.onsite_full_time,job_status.vacant
97373,63656,Environmental Scientist,1202800,"Baton Rouge, USA",job_type.onsite_full_time,job_status.vacant
79606,20995,Retail Manager,495300,"Dubai, UAE",job_type.onsite_full_time,job_status.vacant
43413,40187,Business Development Manager,2773600,"Santa Ana, USA",job_type.onsite_full_time,job_status.vacant
83324,82382,Quality Assurance Engineer,7990500,"Helsinki, Finland",job_type.remote_part_time,job_status.vacant
53581,23873,Event Planner,248500,"Santa Ana, USA",job_type.remote_full_time,job_status.vacant
71304,5991,Account Coordinator,1916400,"Shanghai, China",job_type.onsite_full_time,job_status.vacant
81978,52093,HR Director,4998600,"Stockton, USA",job_type.onsite_full_time,job_status.vacant
34915,59022,Market Research Assistant,8675600,"Venice, Italy",job_type.onsite_full_time,job_status.vacant
48390,13227,Social Media Coordinator,5175100,"Yonkers, USA",job_type.onsite_part_time,job_status.vacant
41162,22899,Dental Assistant,3950800,"Atlanta, USA",job_type.onsite_full_time,job_status.vacant
83723,10610,Systems Analyst,2782400,"North Las Vegas, USA",job_type.onsite_full_time,job_status.vacant
39023,88190,Business Analyst,4304200,"Sydney, Australia",job_type.remote_full_time,job_status.vacant
68058,13567,Architect,1531100,"Winston-Salem, USA",job_type.remote_part_time,job_status.vacant
24713,88190,Customer Success Manager,2871300,"London, England",job_type.remote_part_time,job_status.vacant
45663,39087,HR Specialist,8035900,"Fort Wayne, USA",job_type.onsite_full_time,job_status.vacant
84721,34338,Data Analyst,884500,"Birmingham, USA",job_type.remote_part_time,job_status.vacant
10631,44013,Public Accountant,3967000,"St. Paul, USA",job_type.onsite_part_time,job_status.vacant
94039,30000,Software Tester,8580900,"Milwaukee, USA",job_type.onsite_full_time,job_status.vacant
42727,81829,Administrative Assistant,3988000,"Virginia Beach, USA",job_type.onsite_part_time,job_status.vacant
97514,8539,Insurance Underwriter,5372700,"Lubbock, USA",job_type.onsite_full_time,job_status.vacant
26821,39197,Operations Manager,9826900,"Riyadh, Saudi Arabia",job_type.onsite_full_time,job_status.vacant
21807,91043,Supply Chain Analyst,5386600,"Vancouver, Canada",job_type.remote_full_time,job_status.vacant
50439,72160,Account Coordinator,7916800,"Fremont, USA",job_type.remote_part_time,job_status.vacant
10932,4713,Multimedia Artist,3970700,"Scottsdale, USA",job_type.onsite_part_time,job_status.vacant
98077,49186,Financial Advisor,6439700,"Moscow, Russia",job_type.onsite_full_time,job_status.vacant
62854,82461,Data Entry Clerk,6712900,"Honolulu, USA",job_type.onsite_full_time,job_status.vacant
88735,5834,Copywriter,2002100,"Austin, USA",job_type.remote_part_time,job_status.vacant
24026,94106,Research Assistant,9038600,"Oklahoma City, USA",job_type.remote_part_time,job_status.vacant
71384,19218,Brand Strategist,6379000,"Amsterdam, Netherlands",job_type.remote_part_time,job_status.vacant
24122,34502,Production Supervisor,7057300,"Santiago, Chile",job_type.onsite_part_time,job_status.vacant
14406,79254,Network Engineer,6314700,"Lisbon, Portugal",job_type.onsite_part_time,job_status.vacant
867,4713,Software Developer,9507500,"San Antonio, USA",job_type.remote_full_time,job_status.vacant
1829,35155,Business Development Manager,9257500,"New Orleans, USA",job_type.onsite_part_time,job_status.vacant
51950,17694,Account Coordinator,1658500,"Moscow, Russia",job_type.onsite_part_time,job_status.vacant
84868,80656,Database Administrator,1827200,"Singapore City, Singapore",job_type.remote_part_time,job_status.vacant
65081,62823,Event Planner,5333400,"Oslo, Norway",job_type.onsite_full_time,job_status.vacant
41945,71222,Civil Engineer,4635000,"Bucharest, Romania",job_type.onsite_part_time,job_status.vacant
18189,56867,Copywriter,363000,"North Las Vegas, USA",job_type.remote_part_time,job_status.vacant
88627,70427,Sales Manager,9287800,"Orlando, USA",job_type.remote_full_time,job_status.vacant
66729,48079,IT Project Manager,200200,"Oslo, Norway",job_type.onsite_part_time,job_status.vacant
72628,9916,User Interface Designer,5986300,"Beirut, Lebanon",job_type.onsite_full_time,job_status.vacant
92859,80294,Systems Engineer,1476000,"Brussels, Belgium",job_type.onsite_part_time,job_status.vacant
87057,83911,Medical Billing Specialist,9429500,"Oakland, USA",job_type.remote_part_time,job_status.vacant
70887,96774,Nurse Manager,8876900,"Brussels, Belgium",job_type.onsite_full_time,job_status.vacant
58470,97028,Product Owner,9928600,"Bakersfield, USA",job_type.onsite_part_time,job_status.vacant
88193,5061,Customer Support Specialist,5968100,"Zurich, Switzerland",job_type.remote_full_time,job_status.vacant
15547,27486,Biomedical Engineer,9013200,"Oslo, Norway",job_type.remote_part_time,job_status.vacant
27910,82267,HR Assistant,3505300,"Bologna, Italy",job_type.onsite_full_time,job_status.vacant
93288,15223,Medical Office Manager,104400,"Tulsa, USA",job_type.onsite_full_time,job_status.vacant
68600,91301,Production Supervisor,6471400,"Hong Kong, China",job_type.remote_part_time,job_status.vacant
80040,59022,Financial Risk Analyst,2624400,"Tulsa, USA",job_type.remote_full_time,job_status.vacant
89867,23465,Mechanical Engineer,887900,"Edinburgh, Scotland",job_type.onsite_full_time,job_status.vacant
15430,41932,Business Development Coordinator,1251300,"Milwaukee, USA",job_type.remote_full_time,job_status.vacant
58776,42943,Product Manager,6401100,"Xi'an, China",job_type.onsite_full_time,job_status.vacant
20927,31349,HR Recruiter,6340000,"Madison, USA",job_type.remote_full_time,job_status.vacant
46604,213,Graphic Designer,7647900,"Moscow, Russia",job_type.onsite_full_time,job_status.vacant
76673,83911,Financial Planner,9996100,"Mexico City, Mexico",job_type.remote_full_time,job_status.vacant
83064,71737,Medical Assistant,3422100,"Adelaide, Australia",job_type.remote_full_time,job_status.vacant
