JS_ID,Organization,Degree,Specialisation,Year
98836,Indian Institute of Management (Kozhikode),B.Tech,Civil,2022
98836,Aligarh Muslim University (AMU),Ph.D,Sociology,2018
98836,National Institute of Fashion Technology (NIFT),BE,Electrical,2012
98836,Presidency University,B.Tech,Manu,1986
354,Indian Institute of Technology (Guwahati),B.Tech,Mechanical,1988
354,Tata Institute of Social Sciences (TISS),B.Pharm,Medicine,2001
354,Indian Institute of Technology (Bhubaneswar),BE,Civil,1991
354,Indian Institutes of Management (IIMs),M.Tech,Electrical,2003
84792,Indian Institute of Science Education and Research (IISER),B.A,Psychology,1997
84792,Indian Institute of Science Education and Research (IISER),BE,Manu,1992
84792,Indian Institute of Technology (Bombay),B.Tech,Civil,1983
84792,National Law School of India University (NLSIU),B.A,Sociology,2013
84792,Loyola College,B.Pharm,Medicine,2010
78436,National Law School of India University (NLSIU),Ph.D,Comp Sci,1989
78436,Indian Institute of Management (Ahmedabad),M.Tech,Manu,2003
60136,Indian Institute of Technology (Guwahati),M.Tech,Electrical,1980
71797,Miranda House,BE,Comp Sci,1985
71797,National Law University (NLU),B.Tech,Electrical,1999
19123,Indian Institutes of Management (IIMs),B.Pharm,Medicine,2015
19123,National Law School of India University (NLSIU),B.Pharm,Medicine,2007
19123,Birla Institute of Technology and Science (BITS Pilani),B.A,History,1983
19123,Indian School of Business (ISB),B.A,Sociology,2010
19123,Lady Shri Ram College for Women (LSR),B.Pharm,Medicine,1990
29477,Loyola College,Ph.D,Sociology,1997
29477,National Institute of Technology (Jaipur),M.Tech,Electrical,1994
29477,Indian Institutes of Technology (IITs),B.Pharm,Medicine,1990
29477,Indian Institute of Technology (Bombay),Ph.D,Electrical,1985
29477,Indian Institute of Management (Kozhikode),Ph.D,Electrical,1998
88793,Indian Institute of Foreign Trade (IIFT),BE,Electrical,1990
88793,St. Stephen's College,B.Pharm,Medicine,2020
88793,National Institute of Fashion Technology (NIFT),B.A,Psychology,2008
75395,National Institute of Design (NID),B.Pharm,Medicine,1998
