JS_ID,Year,Proficiency,Domain
98836,2022,Problem Solving,Mathematics
98836,2018,Data Analysis,Statistics
98836,2018,Problem Solving,Mathematics
98836,2018,Graphic Design,Design
98836,2018,Web Development,Computer Science
98836,2012,Graphic Design,Design
98836,2012,Creative Writing,Literature
98836,2012,Project Management,Business
98836,2012,Web Development,Computer Science
98836,2012,Public Speaking,Communication
98836,1986,Data Analysis,Statistics
98836,1986,Marketing,Business
354,1988,Data Analysis,Statistics
354,1988,Problem Solving,Mathematics
354,1988,Digital Marketing,Business
354,1988,Web Development,Computer Science
354,2001,Public Speaking,Communication
354,1991,Data Analysis,Statistics
354,1991,Marketing,Business
354,1991,Public Speaking,Communication
354,2003,Data Analysis,Statistics
354,2003,Programming,Computer Science
84792,1997,Graphic Design,Design
84792,1997,Data Analysis,Statistics
84792,1997,Creative Writing,Literature
84792,1997,Problem Solving,Mathematics
84792,1997,Public Speaking,Communication
84792,1992,Data Analysis,Statistics
84792,1992,Problem Solving,Mathematics
84792,1992,Digital Marketing,Business
84792,1992,Project Management,Business
84792,1983,Digital Marketing,Business
84792,1983,Graphic Design,Design
84792,2013,Marketing,Business
84792,2013,Project Management,Business
84792,2013,Public Speaking,Communication
84792,2010,Digital Marketing,Business
84792,2010,Marketing,Business
84792,2010,Programming,Computer Science
78436,1989,Data Analysis,Statistics
78436,1989,Marketing,Business
78436,1989,Creative Writing,Literature
78436,2003,Problem Solving,Mathematics
78436,2003,Digital Marketing,Business
78436,2003,Marketing,Business
60136,1980,Data Analysis,Statistics
60136,1980,Problem Solving,Mathematics
60136,1980,Graphic Design,Design
60136,1980,Public Speaking,Communication
71797,1985,Data Analysis,Statistics
71797,1985,Digital Marketing,Business
71797,1985,Web Development,Computer Science
71797,1985,Programming,Computer Science
71797,1999,Graphic Design,Design
71797,1999,Marketing,Business
19123,2015,Graphic Design,Design
19123,2015,Project Management,Business
19123,2015,Digital Marketing,Business
19123,2015,Public Speaking,Communication
19123,2015,Programming,Computer Science
19123,2007,Creative Writing,Literature
19123,2007,Programming,Computer Science
19123,1983,Marketing,Business
19123,1983,Creative Writing,Literature
19123,2010,Marketing,Business
19123,2010,Creative Writing,Literature
19123,2010,Problem Solving,Mathematics
19123,2010,Web Development,Computer Science
19123,2010,Programming,Computer Science
19123,1990,Data Analysis,Statistics
19123,1990,Digital Marketing,Business
19123,1990,Creative Writing,Literature
29477,1997,Public Speaking,Communication
29477,1997,Creative Writing,Literature
29477,1997,Web Development,Computer Science
29477,1994,Digital Marketing,Business
29477,1990,Graphic Design,Design
29477,1990,Marketing,Business
29477,1990,Public Speaking,Communication
29477,1990,Web Development,Computer Science
29477,1985,Digital Marketing,Business
