Job_ID,Proficiency,Domain
39824,Project Management,Business
39824,Public Speaking,Communication
39824,Creative Writing,Literature
39824,Programming,Computer Science
44909,Problem Solving,Mathematics
44909,Project Management,Business
82918,Problem Solving,Mathematics
13097,Problem Solving,Mathematics
13097,Graphic Design,Design
13097,Programming,Computer Science
97373,Graphic Design,Design
97373,Digital Marketing,Business
97373,Public Speaking,Communication
97373,Creative Writing,Literature
79606,Problem Solving,Mathematics
79606,Marketing,Business
79606,Public Speaking,Communication
43413,Creative Writing,Literature
83324,Problem Solving,Mathematics
83324,Web Development,Computer Science
53581,Graphic Design,Design
53581,Digital Marketing,Business
53581,Creative Writing,Literature
53581,Web Development,Computer Science
71304,Marketing,Business
81978,Web Development,Computer Science
81978,Public Speaking,Communication
81978,Programming,Computer Science
34915,Graphic Design,Design
48390,Problem Solving,Mathematics
48390,Graphic Design,Design
48390,Digital Marketing,Business
48390,Programming,Computer Science
41162,Data Analysis,Statistics
41162,Project Management,Business
41162,Web Development,Computer Science
83723,Digital Marketing,Business
39023,Digital Marketing,Business
39023,Public Speaking,Communication
68058,Problem Solving,Mathematics
24713,Project Management,Business
24713,Programming,Computer Science
45663,Problem Solving,Mathematics
45663,Graphic Design,Design
45663,Creative Writing,Literature
45663,Programming,Computer Science
84721,Problem Solving,Mathematics
84721,Graphic Design,Design
84721,Programming,Computer Science
10631,Digital Marketing,Business
10631,Marketing,Business
10631,Public Speaking,Communication
10631,Creative Writing,Literature
94039,Graphic Design,Design
94039,Public Speaking,Communication
42727,Data Analysis,Statistics
42727,Public Speaking,Communication
42727,Web Development,Computer Science
97514,Digital Marketing,Business
97514,Project Management,Business
26821,Problem Solving,Mathematics
21807,Marketing,Business
21807,Creative Writing,Literature
21807,Problem Solving,Mathematics
21807,Project Management,Business
21807,Digital Marketing,Business
50439,Data Analysis,Statistics
50439,Marketing,Business
10932,Data Analysis,Statistics
98077,Marketing,Business
98077,Web Development,Computer Science
98077,Digital Marketing,Business
98077,Public Speaking,Communication
98077,Programming,Computer Science
62854,Marketing,Business
62854,Project Management,Business
88735,Problem Solving,Mathematics
88735,Digital Marketing,Business
88735,Project Management,Business
88735,Creative Writing,Literature
24026,Project Management,Business
71384,Data Analysis,Statistics
71384,Marketing,Business
71384,Creative Writing,Literature
71384,Problem Solving,Mathematics
71384,Programming,Computer Science
24122,Marketing,Business
24122,Project Management,Business
24122,Creative Writing,Literature
24122,Web Development,Computer Science
14406,Data Analysis,Statistics
14406,Marketing,Business
14406,Project Management,Business
867,Problem Solving,Mathematics
1829,Public Speaking,Communication
1829,Creative Writing,Literature
51950,Graphic Design,Design
51950,Data Analysis,Statistics
51950,Marketing,Business
51950,Creative Writing,Literature
51950,Problem Solving,Mathematics
84868,Marketing,Business
65081,Data Analysis,Statistics
65081,Creative Writing,Literature
65081,Programming,Computer Science
41945,Marketing,Business
18189,Data Analysis,Statistics
18189,Digital Marketing,Business
18189,Programming,Computer Science
88627,Graphic Design,Design
88627,Public Speaking,Communication
88627,Creative Writing,Literature
88627,Web Development,Computer Science
66729,Marketing,Business
66729,Project Management,Business
66729,Creative Writing,Literature
72628,Problem Solving,Mathematics
72628,Digital Marketing,Business
72628,Creative Writing,Literature
92859,Graphic Design,Design
92859,Data Analysis,Statistics
92859,Creative Writing,Literature
92859,Problem Solving,Mathematics
92859,Web Development,Computer Science
87057,Problem Solving,Mathematics
87057,Public Speaking,Communication
87057,Web Development,Computer Science
70887,Problem Solving,Mathematics
70887,Graphic Design,Design
58470,Digital Marketing,Business
58470,Graphic Design,Design
58470,Marketing,Business
58470,Programming,Computer Science
88193,Graphic Design,Design
88193,Creative Writing,Literature
15547,Creative Writing,Literature
27910,Problem Solving,Mathematics
27910,Project Management,Business
27910,Web Development,Computer Science
93288,Digital Marketing,Business
93288,Marketing,Business
68600,Data Analysis,Statistics
68600,Problem Solving,Mathematics
68600,Creative Writing,Literature
68600,Programming,Computer Science
80040,Project Management,Business
80040,Programming,Computer Science
89867,Data Analysis,Statistics
89867,Creative Writing,Literature
15430,Problem Solving,Mathematics
15430,Graphic Design,Design
15430,Public Speaking,Communication
58776,Data Analysis,Statistics
58776,Graphic Design,Design
58776,Programming,Computer Science
20927,Data Analysis,Statistics
20927,Problem Solving,Mathematics
20927,Project Management,Business
20927,Programming,Computer Science
46604,Data Analysis,Statistics
46604,Web Development,Computer Science
76673,Problem Solving,Mathematics
76673,Project Management,Business
76673,Public Speaking,Communication
83064,Public Speaking,Communication
83064,Web Development,Computer Science
63170,Public Speaking,Communication
63170,Web Development,Computer Science
38285,Graphic Design,Design
38285,Marketing,Business
38285,Programming,Computer Science
4564,Project Management,Business
4564,Public Speaking,Communication
4564,Web Development,Computer Science
59639,Data Analysis,Statistics
59639,Digital Marketing,Business
89369,Data Analysis,Statistics
89369,Digital Marketing,Business
89369,Marketing,Business
89369,Web Development,Computer Science
28738,Creative Writing,Literature
28738,Programming,Computer Science
47416,Problem Solving,Mathematics
47416,Digital Marketing,Business
47416,Creative Writing,Literature
71893,Project Management,Business
71893,Public Speaking,Communication
90186,Web Development,Computer Science
45996,Data Analysis,Statistics
45996,Digital Marketing,Business
45996,Public Speaking,Communication
45996,Programming,Computer Science
29489,Data Analysis,Statistics
29489,Digital Marketing,Business
29489,Graphic Design,Design
29489,Programming,Computer Science
35509,Graphic Design,Design
35509,Digital Marketing,Business
35509,Marketing,Business
35509,Project Management,Business
56119,Data Analysis,Statistics
56119,Digital Marketing,Business
56119,Project Management,Business
56119,Web Development,Computer Science
44565,Creative Writing,Literature
61626,Digital Marketing,Business
61626,Public Speaking,Communication
61626,Creative Writing,Literature
61626,Programming,Computer Science
95789,Public Speaking,Communication
49130,Digital Marketing,Business
20811,Programming,Computer Science
60367,Marketing,Business
27600,Digital Marketing,Business
27600,Marketing,Business
27600,Public Speaking,Communication
27600,Creative Writing,Literature
45164,Marketing,Business
45164,Problem Solving,Mathematics
45164,Project Management,Business
45164,Public Speaking,Communication
45164,Programming,Computer Science
3356,Digital Marketing,Business
3356,Graphic Design,Design
3356,Public Speaking,Communication
3356,Programming,Computer Science
64551,Problem Solving,Mathematics
64551,Programming,Computer Science
91346,Problem Solving,Mathematics
91346,Creative Writing,Literature
38407,Programming,Computer Science
12720,Digital Marketing,Business
12720,Public Speaking,Communication
86064,Data Analysis,Statistics
86064,Marketing,Business
86064,Public Speaking,Communication
86064,Web Development,Computer Science
15092,Data Analysis,Statistics
15092,Public Speaking,Communication
15092,Programming,Computer Science
43041,Project Management,Business
43041,Programming,Computer Science
46971,Problem Solving,Mathematics
46971,Project Management,Business
46971,Digital Marketing,Business
46971,Public Speaking,Communication
46971,Programming,Computer Science
24840,Digital Marketing,Business
24840,Project Management,Business
24840,Programming,Computer Science
96580,Project Management,Business
96580,Creative Writing,Literature
11909,Problem Solving,Mathematics
11909,Web Development,Computer Science
77348,Digital Marketing,Business
77348,Marketing,Business
44997,Problem Solving,Mathematics
44997,Digital Marketing,Business
44997,Marketing,Business
44997,Creative Writing,Literature
65802,Digital Marketing,Business
65802,Graphic Design,Design
65802,Creative Writing,Literature
65802,Programming,Computer Science
1337,Data Analysis,Statistics
1337,Problem Solving,Mathematics
1337,Graphic Design,Design
1337,Web Development,Computer Science
21632,Marketing,Business
80727,Data Analysis,Statistics
80727,Project Management,Business
80727,Web Development,Computer Science
410,Creative Writing,Literature
39865,Creative Writing,Literature
75715,Data Analysis,Statistics
75715,Digital Marketing,Business
75715,Project Management,Business
75715,Public Speaking,Communication
