JS_ID,Com_ID,WE_Role,Proficiency,Domain
354,81213,Mechanical Engineer,Data Analysis,Statistics
354,81213,Mechanical Engineer,Project Management,Business
84792,39197,Civil Engineer,Problem Solving,Mathematics
84792,39197,Civil Engineer,Graphic Design,Design
84792,39197,Civil Engineer,Marketing,Business
84792,50900,UX Designer,Digital Marketing,Business
84792,50900,UX Designer,Marketing,Business
84792,50900,UX Designer,Creative Writing,Literature
78436,66589,Market Analyst,Data Analysis,Statistics
78436,66589,Market Analyst,Marketing,Business
78436,66589,Market Analyst,Web Development,Computer Science
60136,50900,Multimedia Artist,Project Management,Business
60136,40315,Research Assistant,Data Analysis,Statistics
60136,40315,Research Assistant,Marketing,Business
71797,52528,Public Accountant,Graphic Design,Design
71797,52528,Public Accountant,Web Development,Computer Science
19123,56412,IT Administrator,Graphic Design,Design
19123,56412,IT Administrator,Marketing,Business
19123,56412,IT Administrator,Public Speaking,Communication
19123,14363,Logistics Coordinator,Graphic Design,Design
19123,14363,Logistics Coordinator,Marketing,Business
19123,14363,Logistics Coordinator,Creative Writing,Literature
19123,14363,Logistics Coordinator,Web Development,Computer Science
19123,14363,Logistics Coordinator,Public Speaking,Communication
19123,47327,Product Owner,Data Analysis,Statistics
19123,47327,Product Owner,Marketing,Business
19123,47327,Product Owner,Creative Writing,Literature
19123,47327,Product Owner,Web Development,Computer Science
19123,47327,Product Owner,Public Speaking,Communication
19123,5216,Dental Hygienist,Programming,Computer Science
29477,34502,Product Marketing Manager,Digital Marketing,Business
29477,34502,Product Marketing Manager,Programming,Computer Science
29477,81213,Marketing Coordinator,Digital Marketing,Business
88793,61483,Operations Analyst,Web Development,Computer Science
88793,1539,Research Assistant,Data Analysis,Statistics
88793,1539,Research Assistant,Graphic Design,Design
88793,1539,Research Assistant,Marketing,Business
88793,1539,Research Assistant,Programming,Computer Science
88793,59022,Product Owner,Problem Solving,Mathematics
88793,59022,Product Owner,Marketing,Business
88793,59022,Product Owner,Project Management,Business
88793,59022,Product Owner,Public Speaking,Communication
88793,5808,Brand Strategist,Creative Writing,Literature
4857,2449,Project Manager,Data Analysis,Statistics
4857,27486,User Interface Designer,Graphic Design,Design
4857,27486,User Interface Designer,Project Management,Business
4857,27486,User Interface Designer,Web Development,Computer Science
4857,35155,Operations Manager,Marketing,Business
4857,35155,Operations Manager,Project Management,Business
4857,35155,Operations Manager,Web Development,Computer Science
4857,42897,UI/UX Developer,Digital Marketing,Business
4857,42897,UI/UX Developer,Graphic Design,Design
4857,42897,UI/UX Developer,Creative Writing,Literature
4857,42897,UI/UX Developer,Programming,Computer Science
4857,20995,Market Analyst,Marketing,Business
4857,20995,Market Analyst,Public Speaking,Communication
75395,47993,Operations Coordinator,Creative Writing,Literature
75395,39087,Insurance Agent,Data Analysis,Statistics
75395,39087,Insurance Agent,Problem Solving,Mathematics
16811,40187,Mechanical Engineer,Graphic Design,Design
16811,40187,Mechanical Engineer,Public Speaking,Communication
16811,40187,Mechanical Engineer,Creative Writing,Literature
16811,40187,Mechanical Engineer,Programming,Computer Science
16811,13567,Mechanical Engineer,Data Analysis,Statistics
16811,13567,Mechanical Engineer,Marketing,Business
16811,13567,Mechanical Engineer,Problem Solving,Mathematics
16811,13567,Mechanical Engineer,Project Management,Business
16811,13567,Mechanical Engineer,Programming,Computer Science
19897,93094,Supply Chain Analyst,Digital Marketing,Business
19897,23985,Content Manager,Creative Writing,Literature
19897,5692,Retail Manager,Public Speaking,Communication
19897,87831,Digital Content Creator,Graphic Design,Design
19897,87831,Digital Content Creator,Marketing,Business
19897,87831,Digital Content Creator,Project Management,Business
