JS_ID,Com_ID,WE_Role,WE_Salary,Duration,Year
354,81213,Mechanical Engineer,4337700,10,2005
84792,39197,Civil Engineer,455300,9,2002
84792,50900,UX Designer,4989600,9,2001
78436,66589,Market Analyst,9265100,4,2005
60136,50900,Multimedia Artist,2195200,2,2006
60136,40315,Research Assistant,8549600,10,2009
71797,52528,Public Accountant,5811200,8,2014
19123,56412,IT Administrator,5485700,7,2011
19123,14363,Logistics Coordinator,8832400,9,2015
19123,47327,Product Owner,2804900,4,2010
19123,5216,Dental Hygienist,6720900,5,2005
29477,34502,Product Marketing Manager,7580900,9,2002
29477,81213,Marketing Coordinator,4398100,9,2005
88793,61483,Operations Analyst,3355700,8,2017
88793,1539,Research Assistant,5377300,5,2014
88793,59022,Product Owner,5674700,2,2004
88793,5808,Brand Strategist,6379000,10,2003
4857,2449,Project Manager,9818900,6,2019
4857,27486,User Interface Designer,1859700,8,2016
4857,35155,Operations Manager,6651600,2,2015
4857,42897,UI/UX Developer,3884000,3,2019
4857,20995,Market Analyst,8534800,9,2014
75395,47993,Operations Coordinator,896000,6,2013
75395,39087,Insurance Agent,8862200,8,2013
16811,40187,Mechanical Engineer,8876700,2,2001
16811,13567,Mechanical Engineer,7330800,9,2019
19897,93094,Supply Chain Analyst,5942700,8,2003
19897,23985,Content Manager,3812700,2,2000
19897,5692,Retail Manager,9940700,9,2013
19897,87831,Digital Content Creator,9917400,5,2017
19897,8539,Business Development Manager,777600,5,2005
86430,51230,Data Entry Clerk,8055800,2,2002
86430,44013,Tax Preparer,5304100,8,2013
86430,88498,Regulatory Affairs Specialist,4587500,4,2011
86430,78538,Software Developer,5549100,6,2012
86430,54618,Research Scientist,992700,5,2016
65415,61483,Technical Support Specialist,8781100,9,2018
65415,119,Recruiting Coordinator,9309900,8,2006
65415,80294,Sales Support Specialist,8482500,8,2007
55654,88498,Lawyer,3019100,6,2009
55654,82267,Cybersecurity Engineer,4792300,9,2006
55654,63656,Market Research Manager,4894100,3,2007
49863,27355,Business Operations Manager,7228800,3,2000
49863,47993,Customer Service Representative,3979100,2,2016
49863,83911,HR Coordinator,6702400,1,2013
49863,8539,Operations Coordinator,5856500,3,2007
49863,52528,Supply Chain Manager,9860900,5,2011
75130,82267,Content Writer,677700,6,2016
75130,43999,Mechanical Technician,1628300,1,2017
75130,10776,IT Security Analyst,8978800,3,2006
15881,88136,Marketing Analyst,297900,3,2004
15881,34672,Financial Analyst,5331500,10,2003
15881,80507,Digital Marketing Coordinator,6920500,8,2020
15881,52093,IT Analyst,9210600,8,2012
15881,9916,Event Planner,3095700,3,2002
88002,98020,Regulatory Affairs Specialist,9221000,6,2000
88002,13227,Biomedical Engineer,5428200,7,2018
88002,47327,User Experience Researcher,8619100,7,2009
79161,89079,HR Specialist,8035900,2,2019
79161,79254,Construction Manager,4362200,1,2019
92356,86446,User Experience Researcher,8619100,4,2010
92356,8321,Executive Assistant,3839100,8,2010
94332,18207,Cybersecurity Engineer,5714300,2,2009
3541,19218,Operations Manager,6651600,9,2000
3541,18207,Graphic Designer,317500,6,2017
3541,13227,SEO Specialist,4148200,4,2019
3541,3890,IT Security Analyst,5847800,5,2012
3541,79856,Nurse Practitioner,3373300,2,2012
95952,99593,Human Resources Manager,5154500,7,2014
95952,56146,Market Research Assistant,8675600,7,2005
95952,82461,Sales Coordinator,9975300,6,2003
95952,18207,Human Resources Manager,5154500,10,2003
12736,39197,HR Manager,6005300,1,2010
12736,56188,Financial Planner,9996100,4,2012
12736,44556,Operations Coordinator,4880600,2,2012
12736,71515,Customer Experience Manager,6185300,5,2014
29783,39197,Business Development Manager,9257500,10,2006
29783,43521,Healthcare Administrator,2829500,8,2016
29783,13567,Marketing Director,3330200,1,2009
74374,49858,Recruitment Specialist,3177800,7,2011
74374,42897,IT Manager,5711200,10,2003
74374,93094,Electrical Engineer,9364500,2,2010
17996,71737,Dental Assistant,7750700,9,2002
17996,19052,Financial Auditor,9863000,3,2013
17996,31349,Physician Assistant,6110100,1,2002
17996,19218,Multimedia Artist,9013700,7,2002
34853,23985,IT Project Manager,9905200,2,2002
20317,99593,Environmental Engineer,8583000,10,2012
20317,5413,Systems Administrator,3203500,7,2014
20317,56550,Data Analyst,7827500,5,2012
20317,56949,Customer Experience Manager,9647200,5,2012
79097,94380,Systems Analyst,8803100,1,2003
79097,71362,IT Specialist,4401000,10,2015
79097,83911,SEO Specialist,8612100,6,2020
61667,91013,Account Manager,1534200,7,2002
61667,9750,Insurance Agent,8212100,10,2009
85284,49858,Multimedia Artist,7293600,4,2003
85284,81829,Market Research Assistant,7748700,1,2001
60945,87831,Software Engineer,2925200,2,2012
60945,94106,Insurance Agent,3962500,4,2001
60945,40315,IT Project Manager,8698000,9,2016
67339,93307,Health Educator,413600,6,2006
67339,5834,Electrician,7296400,2,2018
67339,23465,Public Relations Coordinator,5698500,10,2012
96798,47708,Data Analyst,7827500,2,2012
96798,48407,IT Manager,4021300,2,2004
78590,62746,Brand Manager,8120200,8,2016
78590,49858,Copywriter,699500,2,2011
78590,56188,Recruiting Coordinator,7370900,5,2009
78590,39197,Supply Chain Specialist,7961000,3,2007
34751,71515,Research Scientist,8279300,8,2006
7976,72160,Network Administrator,1062000,10,2007
7976,15223,Sales Manager,8726400,8,2017
7976,72160,Marketing Coordinator,5196600,9,2007
23497,50885,Electrical Engineer,4715000,5,2019
23497,119,Marketing Assistant,5312500,2,2009
38853,43932,HR Specialist,9235000,10,2000
38853,17808,IT Support Specialist,6059000,3,2003
38853,46976,Sales Manager,7493300,8,2002
90520,27486,Medical Billing Specialist,5079000,6,2004
90520,1498,Financial Analyst,1619400,2,2013
24887,79856,Medical Office Manager,6021300,8,2004
24887,44013,Inventory Manager,5536900,1,2009
56561,28057,Technical Support Specialist,2152300,9,2003
56561,76875,Operations Manager,5118800,3,2005
98697,86446,Medical Billing Specialist,6668700,9,2020
98697,50605,Supply Chain Analyst,8081100,4,2015
98697,51230,Operations Supervisor,3969000,3,2013
98697,5413,Insurance Agent,8862200,2,2020
98697,34187,Medical Billing Specialist,8497600,7,2006
61728,41804,Accountant,6792800,10,2019
